"Tipo de empresa"	"Número de Servicios"	"Tiempo"	"Facturado"
"pyme"	3	160.11	13058.99
"grande"	4	168.05	18762.09
"pyme"	4	160.54	15213.88
"pyme"	6	181.1	14358.02
"grande"	4	199.13	19518.35
"pyme"	7	220.35	16130.18
"pyme"	3	96.4	7772.25
"pyme"	7	248.5	17868.03
"pyme"	5	164.53	17148.01
"pyme"	7	234.12	17565.1
"pyme"	5	156.49	12608.43
"grande"	6	221.68	20074.88
"pyme"	7	250.05	20434.93
"pyme"	3	106.94	8905.12
"pyme"	2	103.01	11785.81
"pyme"	5	236.05	17712.84
"grande"	7	262.11	27692.47
"pyme"	3	97.51	6107.29
"grande"	2	106.2	10202.01
"pyme"	5	161.06	14674.38
"pyme"	5	163.54	13164.92
"pyme"	4	135.21	10253.47
"pyme"	6	228.01	19385.53
"pyme"	4	140.14	12353.49
"pyme"	5	174.95	13489.11
"pyme"	7	275.64	22198.68
"grande"	6	232.04	27650.71
"pyme"	7	246.53	19523.63
"pyme"	5	158.19	11406.11
"grande"	4	169.54	18747.65
"grande"	7	249.06	26457.59
"pyme"	2	60.59	4108.48
"grande"	3	160.93	17118.53
"grande"	2	99.26	9517.22
"pyme"	7	237.81	18357.22
"pyme"	7	221.73	18377.6
"grande"	7	251.2	25894.85
"grande"	2	104.34	12700.57
"grande"	4	154.21	14894.96
"pyme"	5	161.14	12622.08
"grande"	4	164.58	19656.26
"pyme"	5	171.89	13457.25
"grande"	3	142.6	11778.47
"pyme"	5	191.07	14196.41
"pyme"	6	227.78	19395.89
"pyme"	2	220.3	17056.21
"grande"	3	129.58	13645.92
"pyme"	4	149.8	12775.63
"pyme"	5	161.16	15284.26
"grande"	2	185.62	19892.92
"grande"	5	185.65	18570.19
"pyme"	4	122.98	6895.34
"pyme"	2	76.94	8681.08
"pyme"	6	207.05	17471.99
"pyme"	7	235.09	19158.62
"pyme"	2	123.21	8699.16
"pyme"	6	206.86	17584.61
"pyme"	5	161.26	11176.62
"pyme"	4	161.64	15441.6
"pyme"	7	251.24	21663.85
"grande"	5	232.38	23180.87
"pyme"	6	217.51	17801.89
"grande"	3	139.31	13172.38
"grande"	2	120.74	12728.4
"pyme"	3	95.35	4945.36
"pyme"	7	227.92	18703.15
"grande"	4	184.15	15812.71
"pyme"	6	230.02	18598.48
"grande"	4	167.63	17049.99
"grande"	4	151.35	16019.16
"grande"	3	151.49	15789.8
"grande"	7	244.18	25082.57
"grande"	3	125.99	15008.34
"pyme"	3	91.19	8108.64
"pyme"	2	88.49	5641.96
"pyme"	4	173.02	14644.73
"pyme"	2	60.23	3816.53
"grande"	3	138.54	13796.95
"grande"	3	137.5	11686.94
"pyme"	6	281.43	20903.09
"grande"	3	123.12	11915.84
"grande"	3	148.29	12590.71
"pyme"	6	180.15	15025.35
"pyme"	4	126.08	10511.68
"grande"	5	195.03	19661.76
"pyme"	6	186.26	13384.78
"pyme"	5	162.57	9046.84
"pyme"	6	184.38	16510.25
"pyme"	3	138.51	12117.3
"grande"	7	271.98	27510.09
"pyme"	5	166.6	14312.68
"pyme"	2	61.08	5155.93
"pyme"	3	94.25	10032.18
"pyme"	4	130.46	10208.4
"pyme"	6	181.5	15978.45
"pyme"	4	128.77	13161.38
"pyme"	5	179.07	14048.67
"grande"	5	210.03	18945.64
"grande"	5	183.82	17068.61
"grande"	3	131.02	15330.9
"grande"	7	253.85	23605.11
"pyme"	3	110.02	8978.79
"grande"	3	156.14	14279.7
"pyme"	3	106.45	10126.98
"pyme"	6	188.53	14532.99
"pyme"	7	210.86	18659.36
"grande"	5	190.86	17795.91
"pyme"	3	90.08	4764.34
"grande"	3	231.1	20480.9
"pyme"	2	66.21	5409.13
"grande"	5	201.65	19819.89
"grande"	4	173.8	18197.2
"pyme"	3	106.23	12025.12
"pyme"	4	191.93	14576.49
"grande"	6	210.99	21254.76
"pyme"	4	128.39	9643.31
"pyme"	3	113.54	6767.4
"pyme"	5	156.01	11335.55
"grande"	4	153.63	16499.31
"pyme"	6	234.57	16776.71
"pyme"	5	190.74	16832.44
"pyme"	3	111.29	7038.03
"grande"	2	159.67	13919.4
"pyme"	7	225.39	15658.24
"grande"	6	250.42	22660.47
"pyme"	4	130.7	10087.26
"grande"	2	119.96	9521.14
"pyme"	7	254.71	20737.17
"grande"	5	196.57	21191.52
"pyme"	4	137.6	11361.33
"pyme"	7	220.92	18426.24
"grande"	7	240.92	24922.75
"pyme"	5	223.02	17654.34
"pyme"	5	152.87	12390.87
"grande"	5	188.29	17772.6
"grande"	7	243.33	26646.53
"pyme"	2	64.12	6031.87
"grande"	3	133.4	12416.78
"grande"	6	274.37	28187.96
"pyme"	7	338.25	28754.1
"grande"	4	156.94	15080.52
"pyme"	4	166.96	12538.71
"pyme"	2	70.34	4611.54
"pyme"	6	221.81	18092.43
